plot,case,D,observable,endpoint_x_condition,path_x_condition,pdf_kind
x_gt_0p5 / y_int,D=0.04,0.04,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_int,D=0.05,0.05,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_int,D=0.06,0.06,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_int,D=0.08,0.08,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_int,D=0.1,0.1,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_int,D=0.5,0.5,y_int,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.02,0.02,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.025,0.025,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.04,0.04,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.05,0.05,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.06,0.06,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.08,0.08,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.1,0.1,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt_0p5 / y_mean,D=0.5,0.5,y_mean,endpoint window: x_gt_0p5,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.02,0.02,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.025,0.025,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.04,0.04,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.05,0.05,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.06,0.06,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.08,0.08,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.1,0.1,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.5,0.5,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.02,0.02,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.025,0.025,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.04,0.04,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.05,0.05,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.06,0.06,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.08,0.08,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.1,0.1,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.5,0.5,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.02,0.02,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.025,0.025,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.04,0.04,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.05,0.05,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.06,0.06,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.08,0.08,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.1,0.1,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.5,0.5,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
